Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
SDV2F78,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDV3E48,Leve,ONIX HATCH 1.0 12V FLEX 5P MEC.,ONIX 1 0,GM ONIX
SDV3E51,Leve,ONIX HATCH 1.0 12V FLEX 5P MEC.,ONIX 1 0,GM ONIX
SDV8E51,Pesado,SPRINTER 516 FURGÃO E.L.T. ALTO 2.2 DIES,MB SPRINTER CHASSI,MB SPRINTER
SDV8E52,Pesado,SPRINTER 516 FURGÃO E.L.T. ALTO 2.2 DIES,MB SPRINTER CHASSI,MB SPRINTER
SDV9C11,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW2F01,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW2F31,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW2F35,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW2G32,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW2G37,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW8B50,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4
SDX2J10,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT,PEUGEOT PARTNER
SDX2J11,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT,PEUGEOT PARTNER
SDX2J13,Médio,PARTNER RAPID BUSIN. PACK 1.4 FLEX MEC.,PEUGEOT,PEUGEOT PARTNER
SDX2J14,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT,PEUGEOT PARTNER
SDX2J15,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT,PEUGEOT PARTNER
SDY6E93,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,CAMINHÃO 3/4
SDY6E95,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,CAMINHÃO 3/4
SEB8G64,Leve,ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,ONIX 1 0,GM ONIX
SEC0B48,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SEC0C40,Médio,STRADA FREEDOM 1.3 FLEX 8V CD,FIAT STRADA,FIAT STRADA
SEC1E87,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
SEC1F48,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
SEC1F68,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
SEC7A67,Leve,ARGO 1.0 6V FLEX.,FIAT ARGO,FIAT ARGO
SED5F26,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SED8D77,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
SED9B28,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SED9B31,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SED9B32,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT FIORINO,FIAT FIORINO
SED9B36,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SEE9E81,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SEE9I31,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SEF8G22,Caminhão17Ton,VM 330 8X2 2P (DIESEL) (E5),VOLVO VM 330 8X2R,CAMINHÃO BITRUCK
SEF8G23,Caminhão17Ton,VM 330 8X2 2P (DIESEL) (E5),VOLVO VM 330 8X2R,CAMINHÃO BITRUCK
SEG5A66,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
SEG5A85,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
SEH0B26,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEH4I02,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEH4I04,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEH4I05,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEI4H72,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B84,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B85,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B87,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B90,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B92,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B93,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
