Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
BEX5C16,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C17,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C18,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX8E15,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BEX8E16,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BEX8E17,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BEX8E18,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEX8E19,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEX8E21,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEX8E22,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BEX8E23,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEX8E24,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEX8E26,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEY3F46,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEY4E57,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEY4E58,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEY4E59,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEY5A95,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BEY5B10,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BEY8E17,Médio,DUSTER OROCH EXPRESS 1.6 FLEX 16V MEC.,RENAULT OROCH,RENAULT OROCH
FDH4784,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
RHA3E79,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
RHB3H13,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHB3H19,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHB4F06,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHB4F11,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHB9G09,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHB9H58,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHB9H89,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHC1F97,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
RHC1F99,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHC1G03,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
RHC2E17,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHC2F18,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHD6F72,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHD6G02,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHD6G25,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHD8A32,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
RHD8A33,Caminhão10.5Ton,17-230 WORKER 2P (DIESEL)(E5),VW 17 230 CRM,CAMINHÃO TOCO
RHD9F31,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHD9F39,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHD9F45,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT FIORINO,FIAT FIORINO
RHE1F56,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
RHE2E95,Caminhão7.5Ton,14-190 CONSTELLATION 2P (DIESEL)(E5),VW 14 190,CAMINHÃO TOCO
RHF1B45,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
RHF9G22,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4
RHG3A96,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
RHI1F61,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHI1F64,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHI4F42,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,CAMINHÃO 3/4
RHI5D30,Médio,STRADA ENDURANCE 1.4 FLEX 8V CD,FIAT STRADA,FIAT STRADA
RHK2E55,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK2E61,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK2E62,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK2E63,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK3I92,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK5H76,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHK5H85,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHK5H89,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHK5H90,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
RHK6G28,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK6G38,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK6G43,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK6G46,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK6G53,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK6G78,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK7J53,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
RHK8F86,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
RHL1D81,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
RHL1G23,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
RHL2D89,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER CURTA,RENAULT MASTER
RHL3E03,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
RHL3E04,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
RHL5F68,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
RHM5I33,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHM5I41,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHM5I66,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHM8F11,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHN6E33,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
RHN8C54,Caminhão4.2Ton,ACCELO 815 2P (DIESEL) (E5),MB ACELLO 815,CAMINHÃO 3/4
RHO3E71,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,CAMINHÃO 3/4
RHO4H26,Leve,ONIX HATCH 1.0 12V FLEX 5P MEC.,GM ONIX,GM ONIX
RHO5E10,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
RHP4I83,Caminhão4.2Ton,ACCELO 815 2P (DIESEL) (E5),MB ACELLO 815,CAMINHÃO 3/4
RHP7C47,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHP7C49,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHP7C50,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
RHP7C51,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHP9I35,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
RHQ4D38,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,CAMINHÃO 3/4
RHQ4D39,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180,CAMINHÃO 3/4
RHQ4D40,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180,CAMINHÃO 3/4
RHQ6I61,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHQ6I63,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHQ6I66,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHQ6I69,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHQ6I70,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
RHR6J81,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
RHS3G77,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHS3G78,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHS3G79,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHS3G80,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHS3G81,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
RHS8D12,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D13,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D14,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D15,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D16,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D17,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D18,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D20,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D21,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D22,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D23,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D24,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D25,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D27,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D29,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D30,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D31,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D32,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D34,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D35,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D37,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D39,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D40,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D41,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHT0B69,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,CAMINHÃO 3/4
RHT2C47,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,CAMINHÃO 3/4
RHT2C48,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,CAMINHÃO 3/4
RHT2G08,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,CAMINHÃO 3/4
RHT2G09,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,CAMINHÃO 3/4
RHT5A96,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHT5A98,Pesado,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHT5B02,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHT7C39,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
RHT7C67,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
